,Artist,Average Spotify Streams,Track Counts,Average Spotify Playlist Count,Average Spotify Playlist Reach,Average Spotify Popularity,Average YouTube Views,Average YouTube Likes,Average TikTok Posts,Average TikTok Likes,Average TikTok Views,Average YouTube Playlist Reach,Average Apple Music Playlist Count,Average AirPlay Spins,Average SiriusXM Spins,Average Deezer Playlist Count,Average Deezer Playlist Reach,Average Amazon Playlist Count,Average Pandora Streams,Average Pandora Track Stations,Average Soundcloud Streams,Average Shazam Counts
1048,Leo Walrus,0.0,1,28.0,283.0,2.0,445360465.0,369291.0,1.0,25.0,541.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1049,Leoo Remix,144767.0,1,82.0,2477.0,,697719336.0,3167472.0,0.0,0.0,0.0,171565650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1050,Lewis Capaldi,1008129433.5,8,113015.75,48842121.125,70.0,482765584.5,4593222.375,404074.375,52217365.375,522457661.875,498316903.0,114.75,303796.625,109.0,86.625,1186960.0,31.625,104261783.25,74034.125,158595.75,6799952.375
1051,LiL CaKe,366462735.0,1,52345.0,27129754.0,67.0,184622271.0,842979.0,1617600.0,191086404.0,2944174250.0,5649989.0,29.0,23573.0,0.0,31.0,257981.0,27.0,0.0,0.0,0.0,769452.0
1052,Liam Payne,1000549809.0,1,86051.0,18285158.0,63.0,503776997.0,5263027.0,348584.0,29551464.0,181309829.0,14264191.0,99.0,53738.0,101.0,38.0,236519.0,19.0,320956633.0,141834.0,0.0,7058362.0
1053,Liamsi,24215252.0,1,12008.0,950490.0,48.0,12381597.0,191468.0,3611019.0,229593251.0,3302969819.0,0.0,1.0,4445.0,0.0,1.0,839.0,2.0,0.0,0.0,0.0,1389350.0
1054,Libianca,362337570.0,2,76595.0,25948742.5,69.5,152999191.0,1323670.5,1584427.0,121898780.5,1616752965.5,352453065.0,99.0,61511.0,101.0,44.5,631848.0,39.5,7990906.0,7073.0,5206426.5,3730949.0
1055,Lil Baby,392916852.9,20,103565.3,17646170.9,64.4,271567136.65,1865632.1,92853.2,16420233.8,135867657.3,87996990.6,48.15,54057.9,210.75,9.55,211671.8,11.45,122114922.8,55817.05,28214429.65,1668325.15
1056,Lil Big Stack,8388731.0,1,1929.0,194015.0,55.0,7936486.0,153016.0,1182000.0,31867349.0,639301182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15378.0
1057,Lil Dicky,440728032.5,2,57388.5,8045758.0,59.5,672410050.5,10198865.5,360743.0,40294698.5,336513038.5,209535338.0,2.5,4207.5,3.0,9.0,24174.5,12.0,41905831.5,155155.0,0.0,503886.5
1058,Lil Durk,180705986.44444445,9,59538.666666666664,11540494.222222222,62.25,104060918.44444445,1042447.1111111111,131513.55555555556,18921713.444444444,182353173.7777778,290546761.6666667,43.111111111111114,56558.333333333336,148.22222222222223,9.0,211461.0,19.444444444444443,38521797.777777776,19284.777777777777,10151726.222222222,959034.4444444445
1059,Lil Mabu,78831729.66666667,3,18485.0,1834739.0,62.0,28270369.666666668,465572.0,540533.3333333334,83879369.33333333,689084249.3333334,223587108.0,1.6666666666666667,72.0,211.0,0.0,0.0,4.0,1217284.3333333333,6652.666666666667,908951.3333333334,253564.33333333334
1060,Lil Mosey,1011133469.0,2,155585.5,26333503.5,66.0,364436286.5,3894925.0,554742.0,75144333.5,545699050.0,96388225.0,67.0,66660.0,109.5,28.0,61423.0,8.0,66885355.0,113511.5,0.0,1954476.0
1061,Lil Nas X,1315574917.4,10,144370.4,31592754.6,63.0,643463839.9,9409416.7,1619162.9,265904975.5,2553842216.8,1057132306.1,152.4,230446.9,853.4,53.1,1238866.4,39.0,68289166.3,336282.5,22392837.4,6022217.2
1062,Lil Peep,1156060152.0,1,189320.0,31366549.0,76.0,402381959.0,5703867.0,71568.0,19623543.0,153710600.0,15276414.0,31.0,13034.0,0.0,13.0,184670.0,15.0,76107776.0,61292.0,163972594.0,3142956.0
